id,BuyingPower,NewChain,HAFT,CANBO_001,CANBO_002,CANBO_003,CANBO_004,CANBO_005,V1_001,O.K_001,O.K_002,O.K_003,O.K_004,V1_002,V1_003,V1_004,O.K_005,O.K_006,O.K_007,REHAH_001,WINMAK_001,WINMAK_002,REHAH_002,DAILYMAK_001,DAILYMAK_002,PopDenc,ChainDenc
"305","65","0",750.743783002346,1204.55098092906,563.858107407161,1184.73667502685,369.851144743966,1197.52523160532,1914.76993637059,1181.60157983334,1139.00642231403,707.902852411836,920.864730900512,1295.93346724962,639.050822898668,797.501930557997,1370.7849978733,327.42936330325,1241.9461014688,1145.59080392016,309.354111712469,1717.82203327144,1709.16789763875,1305.5812185097,937.343792797082,1,0.2
"306","64","0",660.500004992028,1126.03047155915,480.238109159241,1166.67545877832,463.204892807614,1240.03499013941,1814.77938700299,1189.43433298836,1087.65271774466,750.098317156068,1020.42974315377,1357.93815899466,554.054085254063,896.745222076273,1280.7090887464,366.043886230778,1297.69026663664,1089.65963843232,329.795934867764,1617.90083537682,1789.49897607823,1217.60973951017,1012.4931209861,0.8,0.2
"307","57","0",701.976331668829,458.992084362472,724.140035915002,371.773961703961,1267.69080099333,1072.96886315216,1686.24670276398,667.869709380841,50.6062081554346,922.977849278334,1766.49068983238,1373.25055278337,688.255891487136,1653.21534627048,770.693312174677,1483.95099697629,1258.91674141704,105.602011952863,1446.80154524358,1446.22698428487,1955.38809999875,687.671131422383,2084.3542963412,0.8,0.98
"308","63","0",573.514688192355,1051.17125032266,404.148643351775,1157.01212905459,558.876076132627,1288.92267526907,1714.79426567313,1205.54575579568,1043.3868168016,802.610314008696,1120.07885881084,1424.27641963103,474.953380995807,996.147298826013,1192.22265220407,425.18356335996,1358.52299327598,1040.36184906169,376.623883221798,1517.99490125598,1871.72995940938,1131.6445813798,1091.64373299186,0.8,0.2
"309","62","0",491.520850833447,980.812003951855,340.673470837798,1155.95731112736,655.851315085762,1343.49221389704,1614.81558137972,1229.61046530954,1007.14371917166,863.558875868257,1219.79146102805,1494.37122827804,405.216366824314,1095.66494005385,1105.70735579209,497.58294577499,1423.79218768486,998.680246214516,441.520703154253,1418.10745739705,1955.62119410867,1048.17949756715,1173.9865988793,0.8,0.2
"310","45","0",417.469995312985,915.990275253786,297.985733895549,1163.53441457335,753.62736311783,1403.08081283211,1514.844606256,1261.1732658108,979.814110882703,931.289066754411,1319.55315491656,1567.71878263546,350.477804644513,1195.26927746461,1021.66407170209,578.283058227829,1492.91608341129,965.601621743057,517.735740530122,1318.2427042573,2040.96796144536,967.861494293695,1258.89546681776,0.65,0.2
"311","75","0",356.348762871353,857.962109880034,285.565001724438,1179.57710459591,851.928533345315,1467.07701606359,1414.8829718476,1299.68799792674,962.157837678906,1004.42993289158,1419.35358643304,1643.88374063149,318.565330205347,1294.94030284406,940.755548155816,664.265442207216,1565.38411614177,942.032665498868,600.978235195999,1218.40621829118,2127.59510432737,891.54152472661,1345.88477161813,0.65,0.2
"312","82","0",315.756980761035,808.192163200593,307.105884335939,1203.74695561457,950.591926416317,1534.92961811803,1314.93280564026,1344.55737910337,954.711737585758,1081.88465993282,1519.18511873555,1722.49240182249,316.461420673622,1394.66371584244,863.863025761783,753.724503636447,1640.75323653003,928.697679385177,688.704690277769,1118.6055648705,2215.35242621404,820.336215417429,1434.57610227866,0.8,0.2
"313","94","0",304.031708752261,768.287022548294,356.50449111922,1235.56711226523,1049.51538766811,1606.14994457663,1214.99693488366,1395.16843436011,957.713984631854,1162.79151199952,1619.04199643249,1803.22520470191,344.712296965651,1494.42902651521,792.156831537189,845.557471166881,1718.64181289357,926.038873393213,779.402478389988,1018.85127029691,2304.11079275701,755.692737060423,1524.67246096485,0.8,0.2
"314","94","0",324.319072056667,739.844648353626,424.136354020108,1274.46467411632,1148.63172237692,1680.30982240926,1115.07919987181,1450.92044170026,971.067670475125,1246.47845212372,1718.91980020451,1885.80935909812,396.887985377227,1594.22836679253,727.17284702504,939.068154761729,1798.72257926307,934.147408877828,872.14508569091,919.15842438598,2393.7588515533,699.432843461464,1615.93885125669,0.8,0.2
